reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
93984f76-6699-4d4a-82a1-4eff8bd0118d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus sekali wort it lah pelayanan baik bah,1,0,12.7.0,2025-09-15 15:20:04,,,12.7.0
39ed8ae6-c4a8-4ff4-8133-215ace77c345,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,pihak ekspedisi dan csnya problematik,1,0,12.7.0,2025-09-15 00:22:07,,,12.7.0
07e77d02-76d8-40da-b568-c7968f843122,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Mengecewakan. Limit selalu diblokir, tidak ada penjelasan yang jelas. Transaksi pada flagship saja akun bisa diblokir, seperti pada Hypermart dan Ranchmart. Limit ada, pembayaran lancar tidak menjamin transaksi lancar. Jawaban CS sering tidak memberikan solusi dan tidak jelas",1,1,12.7.0,2025-09-14 04:25:41,,,12.7.0
e7eb8d34-10c1-49c5-b272-a1ba8d612d63,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,apk sampah buka aja lemot padahal jaringan bagus ku tes apk lain kayak shope lazada lancar aja,1,0,,2025-09-14 02:57:06,Halo kak! mohon maaf terkait proses transaksi di Blibli yang kurang berkenan. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 0804 1 871 871 atau email ke customer.care@blibli.com atau Live Chat kami. Happy Shopping! /Dhea,2025-09-14 03:25:23,
938d06b4-ed78-4556-9e84-ac551736818f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,apk gk jelas memberikan penawaran casback namun casback tak kunjung saya terima,1,0,12.0.0,2025-09-13 01:28:05,Halo kak Kamaludin mohon maaf terkait kendala yang terjadi ya. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 0804 1 871 871 atau email ke customer.care@blibli.com atau Live Chat kami. Stay safe and stay healthy kak! - Detya,2025-09-13 01:42:51,12.0.0
2a59863f-22e9-4299-abe4-0b68bd915d72,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasi ga jelas,1,0,12.7.0,2025-09-12 23:46:18,,,12.7.0
29dc7801-bb59-49f3-b671-634dd2885325,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"hadeh gimana mau belanja akun saya sering kena blokir alasannya di curigai melakukan aktivitas tidak bisa. mata mu itu orang cuma mau belanja doang di persulit. saya uninstall aja lah karuan belanja di shope,toko pedia Gk banyak bacod dikit-dikit di curigai.",1,2,12.7.0,2025-09-12 11:00:25,Halo kak Boy mohon maaf atas pengalaman belanja yang kurang menyenangkan. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 0804 1 871 871 atau email ke customer.care@blibli.com atau Live Chat kami. Stay safe and stay healthy kak! - Voni,2025-09-12 13:25:52,12.7.0
ff2b31d2-18a3-4658-927e-222f8c223df5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"pembatalan belanja sulit, refund dana lama makanya lebih rame orenge sama hijau",1,0,12.7.0,2025-09-12 04:58:56,Halo kak Taufik Hidayat mohon maaf terkait kendala yang terjadi ya. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 0804 1 871 871 atau email ke customer.care@blibli.com atau Live Chat kami. Stay safe and stay healthy kak! -Detya,2025-09-12 05:14:09,12.7.0
31605e72-f21b-427f-8761-ba3151c84004,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Proses retur susah, produk sudah dikembalikan sesuai kondisi awal. Cukup 1x belanja di blibli. Pantas saja sedikit penggunanya karena sistemnya buruk dan pelayanan tidak memuaskan.",1,3,12.7.0,2025-09-12 04:33:54,Halo kak mohon maaf atas pengalaman belanja yang kurang menyenangkan. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 0804 1 871 871 atau email ke customer.care@blibli.com atau Live Chat kami. Stay safe and stay healthy kak! - Moses,2025-09-12 06:15:54,12.7.0
4c3a47d4-e324-42fb-82e1-fff792557ac9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,suara notifnya Jelek dan sangat menganggu dan mengagetkan. langsung saya matikan notifnya. dan uninstall akhirnya....,1,1,12.7.0,2025-09-11 13:52:39,,,12.7.0
68dd14fd-5fed-4e1c-acd8-2b05ea146222,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Iklan nya tidak sesuai (bohong). di iklan ada Ipone 13 Mega flash pasti setengah harga pas dibuka enggak ada sama sekali.,1,0,12.7.0,2025-09-11 09:17:58,Halo kak Hanafi Surbakti mohon maaf terkait promo yang kurang berkenan. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 0804 1 871 871 atau email ke customer.care@blibli.com atau Live Chat kami. Stay safe and stay healthy kak! - Omesh,2025-09-16 18:41:11,12.7.0
7468376d-5221-47c8-81c9-46524fdff498,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ampas, pengiriman lama banget, sejam lebih, padahal gak jauh jauh amat",1,0,,2025-09-11 08:49:44,Halo kak Delfeano mohon maaf terkait pengalaman yang kurang berkenan. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 0804 1 871 871 atau email ke customer.care@blibli.com atau Live Chat kami. Stay safe and stay healthy kak! - Omesh,2025-09-16 18:48:54,
642170d5-1f4c-4e3d-8896-1adff45ebb04,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,susah sekali mau bikin paylater nya langsung ditolak terus,1,0,,2025-09-11 06:43:42,Halo kak Penx Namikaze mohon maaf perihal pengajuan paylater yang kurang berkenan. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 08041871871 atau email ke customer.care@blibli.com atau Live Chat kami. Stay safe and stay healthy kak!-voni,2025-09-13 16:42:00,
1c2e5565-722a-4704-8ea8-751bc2bb68be,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,yj p w orang uw,1,0,,2025-09-11 04:56:22,"Halo kak PERDI makasih banyak udah mau luangin waktu untuk kasih rating. Kami sangat mengapresiasi waktu kakak. Jika kedepannya kakak membutuhkan bantuan segera hubungi 08041871871, email customer.care@blibli.com, Facebook Blibli.com, X @BlibliCare atau Live Chat kami. -Amir",2025-09-12 17:16:01,
8d958d0f-a9eb-4ffe-b6a9-c7ea27e8c3af,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasinya parahhhhhhhh banget,,,saya sudah belanjah tapi nga bisa CODan,,,parahhhhhhhhhhhhh banget lebih jago shopee",1,0,,2025-09-11 03:00:41,Halo kak Andika mohon maaf atas pengalaman belanja yang kurang menyenangkan. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 0804 1 871 871 atau email ke customer.care@blibli.com atau Live Chat kami. Stay safe and stay healthy kak! - Voni,2025-09-11 04:19:31,
e4cbc82d-2275-4bf9-baf9-c9a61f1cc465,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,parah kaga bisa masuk keluar mulu.. padahal udah di 2 hp berbeda..,1,0,12.7.0,2025-09-10 16:54:06,Halo kak Agung mohon maaf atas pengalaman belanja yang kurang menyenangkan. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 0804 1 871 871 atau email ke customer.care@blibli.com atau Live Chat kami. Stay safe and stay healthy kak! -Hanaya,2025-09-11 00:00:56,12.7.0
350b4e8e-44e8-43cf-8002-ecc4fee2bf5b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sy mengalami pengalaman berbelanja yg paling buruk di app ini. sudah ditulis patokan alamat, namun di resi gak hingga kurir bingung sendiri. Jawa emang blo on.",1,0,,2025-09-10 15:16:41,Halo kak Safrijal mohon maaf atas pengalaman belanja yang kurang menyenangkan. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 0804 1 871 871 atau email ke customer.care@blibli.com atau Live Chat kami. Stay healthy kak! - Hanaya,2025-09-10 16:40:42,
81bdb696-c94e-4d02-ab31-4c9fa3f8f562,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ngasih voucher bener bener g niat.. gak Kya dulu.. beda sama aplikasi sebelah 👎,1,0,,2025-09-10 09:03:56,Halo kak Yunitha mohon maaf perihal voucher yang kurang menyenangkan. Kami ingin mendengar lebih detail terkait hal tersebut sehingga Blibli bisa memperbaiki pelayanan kami menjadi lebih baik lagi. Kakak bisa menghubungi kami di 0804 1 871 871 atau email ke customer.care@blibli.com atau Live Chat kami. Stay safe and stay healthy kak! -Voni,2025-09-11 02:36:57,
